Store,Item,Forecasted_Sales,Historical_Average,Decision_Score,Risk_Score,Risk_Level,Business_Category,Priority_Rank,Priority_Level,Operational_Action,Explanation_Forecast,Explanation_SHAP,Explanation_Trend,Explanation_Risk
4,38,82.35,82.54,50.7,69.76,High Risk,Strategic Monitoring,103,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (74.6) exceeds 30-day baseline (72.6),Elevated uncertainty: historical sales show significant variance
6,18,63.4,62.06,50.69,55.22,High Risk,Strategic Monitoring,104,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (59.1) exceeds 30-day baseline (55.3),Elevated uncertainty: historical sales show significant variance
10,38,89.3,88.04,50.62,78.88,Critical Risk,Strategic Monitoring,105,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (76.9) has fallen below 30-day baseline (80.4),Critical risk of variance: high historical volatility and forecasting residuals
1,4,18.85,19.57,50.6,8.74,Low Risk,Stable Demand,106,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (16.7) exceeds 30-day baseline (16.1),Low forecast uncertainty: minimal volatility observed in predictions
6,2,44.25,43.28,50.52,34.73,Medium Risk,Stable Demand,107,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (40.4) exceeds 30-day baseline (37.6),Moderate uncertainty: stable metrics with minor variance
2,13,99.07,105.38,50.45,92.69,Critical Risk,Strategic Monitoring,108,Medium Priority,Reduce procurement volume by 6.0% to prevent inventory bloat,Forecasted demand is 6.0% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (93.3) exceeds 30-day baseline (91.6),Critical risk of variance: high historical volatility and forecasting residuals
2,8,91.13,96.84,50.42,81.34,Critical Risk,Strategic Monitoring,109,Medium Priority,Reduce procurement volume by 5.9% to prevent inventory bloat,Forecasted demand is 5.9% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (90.3) exceeds 30-day baseline (85.6),Critical risk of variance: high historical volatility and forecasting residuals
8,11,84.95,83.51,50.42,70.47,Critical Risk,Strategic Monitoring,110,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (74.0) has fallen below 30-day baseline (76.0),Critical risk of variance: high historical volatility and forecasting residuals
3,12,78.03,77.23,50.4,65.84,High Risk,Strategic Monitoring,111,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (69.4) exceeds 30-day baseline (67.9),Elevated uncertainty: historical sales show significant variance
5,38,61.74,59.9,50.38,51.78,High Risk,Strategic Monitoring,112,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (57.0) exceeds 30-day baseline (53.6),Elevated uncertainty: historical sales show significant variance
5,28,67.06,65.41,50.29,54.51,High Risk,Strategic Monitoring,113,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (60.1) exceeds 30-day baseline (57.2),Elevated uncertainty: historical sales show significant variance
6,44,21.27,21.81,50.27,13.39,Low Risk,Stable Demand,114,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (19.6) exceeds 30-day baseline (18.9),Low forecast uncertainty: minimal volatility observed in predictions
1,45,71.95,71.11,50.19,62.04,High Risk,Strategic Monitoring,115,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (65.4) exceeds 30-day baseline (62.2),Elevated uncertainty: historical sales show significant variance
6,19,30.56,29.76,50.18,20.41,Low Risk,Stable Demand,116,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (26.7) has fallen below 30-day baseline (27.3),Low forecast uncertainty: minimal volatility observed in predictions
5,37,20.3,21.73,50.15,10.37,Low Risk,Stable Demand,117,Medium Priority,Reduce procurement volume by 6.6% to prevent inventory bloat,Forecasted demand is 6.6% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (19.6) exceeds 30-day baseline (17.6),Low forecast uncertainty: minimal volatility observed in predictions
10,15,93.85,96.73,50.11,79.79,Critical Risk,Strategic Monitoring,118,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (85.0) has fallen below 30-day baseline (85.7),Critical risk of variance: high historical volatility and forecasting residuals
7,13,60.09,57.06,50.06,51.05,High Risk,Strategic Monitoring,119,Medium Priority,Increase inventory by 5.3% to meet predicted demand surge,Forecasted demand is 5.3% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (53.7) exceeds 30-day baseline (52.0),Elevated uncertainty: historical sales show significant variance
8,13,95.48,101.38,50.04,88.59,Critical Risk,Strategic Monitoring,120,Medium Priority,Reduce procurement volume by 5.8% to prevent inventory bloat,Forecasted demand is 5.8% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (90.6) exceeds 30-day baseline (88.5),Critical risk of variance: high historical volatility and forecasting residuals
1,5,15.78,16.25,49.87,3.85,Low Risk,Stable Demand,121,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (13.9) has fallen below 30-day baseline (14.0),Low forecast uncertainty: minimal volatility observed in predictions
7,37,19.19,19.78,49.85,10.0,Low Risk,Stable Demand,122,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (17.4) exceeds 30-day baseline (17.1),Low forecast uncertainty: minimal volatility observed in predictions
8,9,63.07,61.5,49.82,56.02,High Risk,Strategic Monitoring,123,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (57.6) exceeds 30-day baseline (54.5),Elevated uncertainty: historical sales show significant variance
5,39,31.06,32.43,49.75,27.89,Low Risk,Stable Demand,124,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (29.3) exceeds 30-day baseline (26.3),Low forecast uncertainty: minimal volatility observed in predictions
5,48,39.75,38.33,49.7,29.14,Low Risk,Stable Demand,125,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (35.1) exceeds 30-day baseline (35.1),Low forecast uncertainty: minimal volatility observed in predictions
9,35,69.8,67.97,49.69,58.48,High Risk,Strategic Monitoring,126,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (61.7) exceeds 30-day baseline (60.1),Elevated uncertainty: historical sales show significant variance
1,39,39.58,38.73,49.6,33.95,Medium Risk,Stable Demand,127,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (34.9) exceeds 30-day baseline (34.0),Moderate uncertainty: stable metrics with minor variance
2,38,95.03,100.7,49.59,89.57,Critical Risk,Strategic Monitoring,128,Medium Priority,Reduce procurement volume by 5.6% to prevent inventory bloat,Forecasted demand is 5.6% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (90.9) exceeds 30-day baseline (88.9),Critical risk of variance: high historical volatility and forecasting residuals
8,19,49.68,48.1,49.55,40.0,Medium Risk,Stable Demand,129,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (45.4) exceeds 30-day baseline (42.9),Moderate uncertainty: stable metrics with minor variance
7,40,19.21,19.9,49.52,9.19,Low Risk,Stable Demand,130,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (17.6) exceeds 30-day baseline (17.2),Low forecast uncertainty: minimal volatility observed in predictions
10,24,73.72,72.76,49.51,62.87,High Risk,Strategic Monitoring,131,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (66.7) exceeds 30-day baseline (65.4),Elevated uncertainty: historical sales show significant variance
10,13,91.14,92.44,49.5,81.27,Critical Risk,Strategic Monitoring,132,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (79.4) has fallen below 30-day baseline (80.7),Critical risk of variance: high historical volatility and forecasting residuals
5,5,13.56,13.7,49.29,2.05,Low Risk,Stable Demand,133,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (11.6) has fallen below 30-day baseline (12.7),Low forecast uncertainty: minimal volatility observed in predictions
5,3,27.42,27.19,49.25,17.96,Low Risk,Stable Demand,134,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (24.0) has fallen below 30-day baseline (24.4),Low forecast uncertainty: minimal volatility observed in predictions
2,40,36.35,36.69,49.23,28.85,Low Risk,Stable Demand,135,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (33.3) exceeds 30-day baseline (31.1),Low forecast uncertainty: minimal volatility observed in predictions
1,44,25.5,25.82,49.22,18.34,Low Risk,Stable Demand,136,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (23.4) exceeds 30-day baseline (23.1),Low forecast uncertainty: minimal volatility observed in predictions
4,39,46.71,45.01,49.1,40.5,Medium Risk,Stable Demand,137,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (41.0) exceeds 30-day baseline (40.2),Moderate uncertainty: stable metrics with minor variance
5,47,16.05,16.32,49.05,6.67,Low Risk,Stable Demand,138,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (14.1) has fallen below 30-day baseline (14.8),Low forecast uncertainty: minimal volatility observed in predictions
10,45,87.07,88.32,48.98,77.72,Critical Risk,Strategic Monitoring,139,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (76.6) has fallen below 30-day baseline (76.7),Critical risk of variance: high historical volatility and forecasting residuals
7,48,35.49,34.71,48.94,26.86,Low Risk,Stable Demand,140,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is slowing: 7-day moving average (30.7) has fallen below 30-day baseline (30.9),Low forecast uncertainty: minimal volatility observed in predictions
4,27,21.76,22.59,48.93,13.47,Low Risk,Stable Demand,141,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (19.9) exceeds 30-day baseline (19.1),Low forecast uncertainty: minimal volatility observed in predictions
10,37,32.03,32.04,48.91,23.51,Low Risk,Stable Demand,142,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (29.9) exceeds 30-day baseline (29.2),Low forecast uncertainty: minimal volatility observed in predictions
6,13,62.74,62.67,48.87,56.54,High Risk,Strategic Monitoring,143,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (58.1) exceeds 30-day baseline (53.5),Elevated uncertainty: historical sales show significant variance
3,22,89.19,89.84,48.8,75.68,Critical Risk,Strategic Monitoring,144,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (75.1) has fallen below 30-day baseline (76.7),Critical risk of variance: high historical volatility and forecasting residuals
10,5,19.98,20.12,48.71,10.67,Low Risk,Stable Demand,145,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (17.7) has fallen below 30-day baseline (18.4),Low forecast uncertainty: minimal volatility observed in predictions
2,29,85.63,86.81,48.64,73.51,Critical Risk,Strategic Monitoring,146,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (75.1) has fallen below 30-day baseline (75.2),Critical risk of variance: high historical volatility and forecasting residuals
8,1,26.15,26.39,48.63,19.92,Low Risk,Stable Demand,147,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (23.3) has fallen below 30-day baseline (23.3),Low forecast uncertainty: minimal volatility observed in predictions
8,24,79.36,79.37,48.58,70.05,Critical Risk,Strategic Monitoring,148,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (70.3) exceeds 30-day baseline (69.8),Critical risk of variance: high historical volatility and forecasting residuals
2,25,95.53,101.14,48.49,89.93,Critical Risk,Strategic Monitoring,149,Medium Priority,Reduce procurement volume by 5.5% to prevent inventory bloat,Forecasted demand is 5.5% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (88.3) exceeds 30-day baseline (87.8),Critical risk of variance: high historical volatility and forecasting residuals
3,23,32.57,32.58,48.45,22.53,Low Risk,Stable Demand,150,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (29.3) exceeds 30-day baseline (28.7),Low forecast uncertainty: minimal volatility observed in predictions
4,40,30.37,29.79,48.34,21.98,Low Risk,Stable Demand,151,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (26.1) has fallen below 30-day baseline (27.1),Low forecast uncertainty: minimal volatility observed in predictions
4,32,46.74,44.93,48.33,39.14,Medium Risk,Stable Demand,152,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (39.7) exceeds 30-day baseline (39.5),Moderate uncertainty: stable metrics with minor variance
3,46,67.75,65.04,48.3,54.8,High Risk,Strategic Monitoring,153,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is slowing: 7-day moving average (59.1) has fallen below 30-day baseline (60.0),Elevated uncertainty: historical sales show significant variance
5,10,56.09,54.08,48.15,43.99,Medium Risk,Stable Demand,154,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (49.7) exceeds 30-day baseline (47.3),Moderate uncertainty: stable metrics with minor variance
6,20,36.16,35.36,48.05,26.44,Low Risk,Stable Demand,155,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is slowing: 7-day moving average (31.6) has fallen below 30-day baseline (32.0),Low forecast uncertainty: minimal volatility observed in predictions
3,17,36.73,36.89,48.03,28.18,Low Risk,Stable Demand,156,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (33.3) exceeds 30-day baseline (32.0),Low forecast uncertainty: minimal volatility observed in predictions
2,18,98.57,105.27,47.82,96.12,Critical Risk,Strategic Monitoring,157,Medium Priority,Reduce procurement volume by 6.4% to prevent inventory bloat,Forecasted demand is 6.4% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (92.1) has fallen below 30-day baseline (93.3),Critical risk of variance: high historical volatility and forecasting residuals
3,48,58.77,57.43,47.81,50.54,High Risk,Strategic Monitoring,158,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (53.4) exceeds 30-day baseline (50.6),Elevated uncertainty: historical sales show significant variance
1,48,46.14,45.39,47.79,36.82,Medium Risk,Stable Demand,159,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (41.0) exceeds 30-day baseline (39.3),Moderate uncertainty: stable metrics with minor variance
2,31,73.65,73.62,47.78,65.21,High Risk,Strategic Monitoring,160,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (66.3) exceeds 30-day baseline (64.5),Elevated uncertainty: historical sales show significant variance
8,29,83.65,83.13,47.68,74.89,Critical Risk,Strategic Monitoring,161,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (71.4) has fallen below 30-day baseline (75.0),Critical risk of variance: high historical volatility and forecasting residuals
9,38,80.96,82.49,47.62,71.85,Critical Risk,Strategic Monitoring,162,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (72.6) exceeds 30-day baseline (71.4),Critical risk of variance: high historical volatility and forecasting residuals
8,45,91.69,96.78,47.57,82.73,Critical Risk,Strategic Monitoring,163,Medium Priority,Reduce procurement volume by 5.3% to prevent inventory bloat,Forecasted demand is 5.3% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (83.6) exceeds 30-day baseline (82.0),Critical risk of variance: high historical volatility and forecasting residuals
8,31,70.83,70.34,47.53,62.11,High Risk,Strategic Monitoring,164,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (64.1) exceeds 30-day baseline (62.9),Elevated uncertainty: historical sales show significant variance
4,34,26.76,26.31,47.5,19.03,Low Risk,Stable Demand,165,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (22.4) has fallen below 30-day baseline (24.1),Low forecast uncertainty: minimal volatility observed in predictions
7,45,55.58,54.51,47.44,45.3,Medium Risk,Stable Demand,166,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (50.1) exceeds 30-day baseline (47.1),Moderate uncertainty: stable metrics with minor variance
9,32,46.31,45.24,47.42,36.91,Medium Risk,Stable Demand,167,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (40.4) exceeds 30-day baseline (39.4),Moderate uncertainty: stable metrics with minor variance
6,50,49.65,49.36,47.42,39.36,Medium Risk,Stable Demand,168,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (46.1) exceeds 30-day baseline (42.6),Moderate uncertainty: stable metrics with minor variance
4,5,18.74,19.15,47.37,8.99,Low Risk,Stable Demand,169,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (15.7) has fallen below 30-day baseline (16.5),Low forecast uncertainty: minimal volatility observed in predictions
5,32,31.2,32.39,47.21,22.63,Low Risk,Stable Demand,170,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (30.3) exceeds 30-day baseline (28.4),Low forecast uncertainty: minimal volatility observed in predictions
6,12,52.73,51.66,47.19,44.29,Medium Risk,Stable Demand,171,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (47.7) exceeds 30-day baseline (45.6),Moderate uncertainty: stable metrics with minor variance
8,46,70.39,70.35,47.15,57.71,High Risk,Strategic Monitoring,172,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (64.4) exceeds 30-day baseline (62.5),Elevated uncertainty: historical sales show significant variance
1,2,53.76,51.89,47.13,44.37,Medium Risk,Stable Demand,173,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (48.3) exceeds 30-day baseline (46.9),Moderate uncertainty: stable metrics with minor variance
3,36,84.66,85.62,47.11,75.72,Critical Risk,Strategic Monitoring,174,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (72.7) has fallen below 30-day baseline (74.1),Critical risk of variance: high historical volatility and forecasting residuals
2,32,57.3,55.33,47.11,50.57,High Risk,Strategic Monitoring,175,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (50.7) exceeds 30-day baseline (49.5),Elevated uncertainty: historical sales show significant variance
2,11,86.39,86.9,47.02,71.93,Critical Risk,Strategic Monitoring,176,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (73.4) has fallen below 30-day baseline (76.4),Critical risk of variance: high historical volatility and forecasting residuals
4,23,29.53,29.99,47.01,20.86,Low Risk,Stable Demand,177,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (26.3) exceeds 30-day baseline (26.1),Low forecast uncertainty: minimal volatility observed in predictions
7,34,16.63,17.57,47.0,6.65,Low Risk,Stable Demand,178,Medium Priority,Reduce procurement volume by 5.4% to prevent inventory bloat,Forecasted demand is 5.4% lower than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (14.7) has fallen below 30-day baseline (14.7),Low forecast uncertainty: minimal volatility observed in predictions
